descriptor_mode,query_count,vector_length,top1_exact,top1_class,top3_exact,top3_class,descriptor_ms,full_match_ms
barcode,300,56,84.0,88.33,89.67,94.33,42.091,42.623
edge025,300,77,85.0,89.33,90.33,94.0,59.008,59.637
edge050,300,77,85.0,89.33,91.33,94.67,61.985,62.677
edge075,300,77,87.33,91.33,93.0,95.67,46.754,47.331
edge100,300,77,88.0,92.0,93.0,96.67,60.646,61.437
